,GTI,Base,Reform,Difference
1,"Rs. $57,254.00       - $282,663.00    ",0.0,0.0,0.0
2,"Rs. $282,663.00      - $349,672.00    ",6196.806934875006,0.0,-6196.806934875006
3,"Rs. $349,672.00      - $386,826.00    ",80317.68225174754,0.0,-80317.68225174754
4,"Rs. $386,826.00      - $456,093.00    ",124704.15011936455,0.0,-124704.15011936455
5,"Rs. $456,093.00      - $541,694.00    ",164480.92385226904,6826.314861599985,-157654.60899066905
6,"Rs. $541,694.00      - $639,666.00    ",329719.00340066623,123935.18436062412,-205783.81904004206
7,"Rs. $639,666.00      - $785,866.00    ",537555.6420400178,305037.3078862722,-232518.33415374553
8,"Rs. $785,866.00      - $1,016,588.00  ",1237806.3628510244,995023.9003544328,-242782.46249659202
9,"Rs. $1,016,588.00    - $1,379,238.00  ",2689022.6566045186,2460329.6726880567,-228692.98391646086
10,"Rs. $1,379,238.00    - $3,049,900.00  ",7113002.713405791,6948060.992176723,-164941.7212290698
