,weight,GTI,TTI,TI_special_rates,tax_TI_special_rates,Aggregate_Income,tax_Aggregate_Income,tax_TTI,rebate,surcharge,cess,pitax
0-10n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0-10z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0-10p,4158920.9475,932753163428.6173,856105978772.8085,0.0,0.0,856105978772.8085,1258235428.1540647,1258235428.1540647,1258235428.1540647,0.0,0.0,0.0
10-20,4364070.8089,1390572629155.4922,1257061948576.311,0.0,0.0,1257061948576.311,11253210607.978874,11253210607.978874,10295175224.966928,0.0,28741061.490358397,986776444.502305
20-30,4253436.6248,1610607603398.0073,1522033209076.8816,0.0,0.0,1522033209076.8816,22337924713.285378,22337924713.285378,3400451201.2197533,0.0,568124205.3619688,19505597717.427593
30-40,4037541.0922000003,1830473666288.259,1518245603367.3125,0.0,0.0,1518245603367.3125,24916709773.36561,24916709773.36561,1784412791.1630907,0.0,693968909.4660755,23826265891.668594
40-50,4274927.9672,2278531263703.517,1897953487148.7996,0.0,0.0,1897953487148.7996,42474263985.448296,42474263985.448296,0.0,0.0,1274227919.563449,43748491905.01174
50-60,4474704.993000001,2794703594466.5317,2247276243536.055,4065530115.3852015,609829517.3077801,2243210713420.6704,74659675903.01407,75269505420.32184,0.0,0.0,2258085162.609655,77527590582.93149
60-70,4053659.599,3072287124578.31,2412356456872.4873,31499961687.870842,6183019190.394666,2380856495184.617,130517028798.27711,136700047988.67178,368414719.75000006,0.0,4089948998.0676537,140421582266.98944
70-80,4264182.296,4046665149028.9434,3393841154676.23,4417443013.530856,715473438.1789036,3389423711662.6987,304242484690.0398,304957958128.2187,0.0,0.0,9148738743.846561,314106696872.0653
80-90,4485450.6642,5821942401476.389,5217846265369.506,0.0,0.0,5217846265369.506,723822425705.212,723822425705.212,0.0,0.0,21714672771.15636,745537098476.3684
90-100,4274927.9672,8822010018443.252,8115407817800.014,248623087334.76572,48405377144.094666,7866784730465.249,1575063882494.8928,1623469259638.9873,162405219.6438815,0.0,48699205632.58031,1672006060051.9236
ALL,42641822.96000001,32600546613967.32,28438128165196.406,288606022151.5526,55913699289.97602,28149522143044.85,2910545842099.668,2966459541389.6445,17269094584.89772,0.0,88475713404.1424,3037666160208.8887
90-95,2137463.9836,3618684638710.164,3235983668097.686,26384806457.16955,3957720968.5754333,3209598861640.5166,560236223790.405,564193944758.9805,0.0,0.0,16925818342.769411,581119763101.7498
95-99,1389888.8728999998,3079123171831.81,2868572187538.3003,204314795289.9562,40862959057.99124,2664257392248.344,557922341190.5715,598785300248.5627,162405219.6438815,0.0,17958686850.86757,616581581879.7865
Top 1%,747575.1107000001,2124202207901.278,2010851962164.0276,17923485587.639946,3584697117.5279894,1992928476576.3877,456905317513.91626,460490014631.4442,0.0,0.0,13814700438.943325,474304715070.3875
