, weight , GTI , TTI , TI_special_rates , tax_TI_special_rates , Aggregate_Income , tax_Aggregate_Income , tax_TTI , rebate , surcharge , cess , pitax 
0-10n, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
0-10z, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
0-10p," 4,158,921 "," 932,753,163,429 "," 856,105,978,773 ", -   , -   ," 856,105,978,773 ", -   , -   , -   , -   , -   , -   
20-Oct," 4,364,071 "," 1,390,572,629,155 "," 1,257,061,948,576 ", -   , -   ," 1,257,061,948,576 ", -   , -   , -   , -   , -   , -   
20-30," 4,253,437 "," 1,610,607,603,398 "," 1,522,033,209,077 ", -   , -   ," 1,522,033,209,077 ", -   , -   , -   , -   , -   , -   
30-40," 4,037,541 "," 1,830,473,666,288 "," 1,518,245,603,367 ", -   , -   ," 1,518,245,603,367 ", -   , -   , -   , -   , -   , -   
40-50," 4,274,928 "," 2,278,531,263,704 "," 1,897,953,487,149 ", -   , -   ," 1,897,953,487,149 "," 5,633,010,705 "," 5,633,010,705 ", -   , -   ," 225,320,428 "," 5,858,331,134 "
50-60," 4,474,705 "," 2,794,703,594,467 "," 2,247,276,243,536 "," 4,065,530,115 "," 609,829,517 "," 2,243,210,713,421 "," 25,279,012,516 "," 25,888,842,033 ", -   , -   ," 1,035,553,681 "," 26,924,395,715 "
60-70," 4,053,660 "," 3,072,287,124,578 "," 2,412,356,456,872 "," 31,499,961,688 "," 6,183,019,190 "," 2,380,856,495,185 "," 83,210,803,197 "," 89,393,822,387 "," 368,414,720 ", -   ," 3,561,016,307 "," 92,586,423,974 "
70-80," 4,264,182 "," 4,046,665,149,029 "," 3,393,841,154,676 "," 4,417,443,014 "," 715,473,438 "," 3,389,423,711,663 "," 251,466,512,733 "," 252,181,986,171 ", -   , -   ," 10,087,279,447 "," 262,269,265,618 "
80-90," 4,485,451 "," 5,821,942,401,476 "," 5,217,846,265,370 ", -   , -   ," 5,217,846,265,370 "," 669,360,076,808 "," 669,360,076,808 ", -   , -   ," 26,774,403,072 "," 696,134,479,881 "
90-100," 4,274,928 "," 8,822,010,018,443 "," 8,115,407,817,800 "," 248,623,087,335 "," 48,405,377,144 "," 7,866,784,730,465 "," 1,525,614,879,741 "," 1,574,020,256,885 "," 162,405,220 ", -   ," 62,954,314,067 "," 1,636,812,165,732 "
ALL," 42,641,823 "," 32,600,546,613,967 "," 28,438,128,165,196 "," 288,606,022,152 "," 55,913,699,290 "," 28,149,522,143,045 "," 2,560,564,295,700 "," 2,616,477,994,990 "," 530,819,939 ", -   ," 104,637,887,002 "," 2,720,585,062,052 "
90-95," 2,137,464 "," 3,618,684,638,710 "," 3,235,983,668,098 "," 26,384,806,457 "," 3,957,720,969 "," 3,209,598,861,641 "," 535,386,861,772 "," 539,344,582,741 ", -   , -   ," 21,573,783,310 "," 560,918,366,050 "
95-99," 1,389,889 "," 3,079,123,171,832 "," 2,868,572,187,538 "," 204,314,795,290 "," 40,862,959,058 "," 2,664,257,392,248 "," 541,864,497,136 "," 582,727,456,194 "," 162,405,220 ", -   ," 23,302,602,039 "," 605,867,653,013 "
Top 1%," 747,575 "," 2,124,202,207,901 "," 2,010,851,962,164 "," 17,923,485,588 "," 3,584,697,118 "," 1,992,928,476,576 "," 448,363,520,833 "," 451,948,217,950 ", -   , -   ," 18,077,928,718 "," 470,026,146,668 "
